Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
3139102;Madre de Deus de Minas;Campo das Vertentes;São João Del Rei;Andrelândia
310230815;Major Ezequiel;Metropolitana de Belo Horizonte;Itabira;Alvinópolis
314800420;Major Porto;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
3139201;Malacacheta;Vale do Mucuri;Teófilo Otoni;Malacacheta
3139250;Mamonas;Norte de Minas;Janaúba;Espinosa
3139300;Manga;Norte de Minas;Januária;Manga
3039300;Manga II;Norte de Minas;Januária;Manga
3139409;Manhuaçu;Zona da Mata;Manhuaçu;Manhuaçu
3139508;Manhumirim;Zona da Mata;Manhuaçu;Manhumirim
3139607;Mantena;Vale do Rio Doce;Mantena;Mantena
316070217;Mantiqueira;Zona da Mata;Juiz de Fora;Santos Dumont
310560819;Mantiqueira do Palmital;Campo das Vertentes;Barbacena;Barbacena
3139805;Mar de Espanha;Zona da Mata;Juiz de Fora;Mar de Espanha
311300810;Marambainha;Jequitinhonha;Araçuaí;Novo Cruzeiro
311300812;Maranhão;Jequitinhonha;Araçuaí;Novo Cruzeiro
3139706;Maravilhas;Metropolitana de Belo Horizonte;Sete Lagoas;Pitangui
3139904;Maria da Fé;Sul/Sudoeste de Minas;Itajubá;Cristina
3140001;Mariana;Metropolitana de Belo Horizonte;Ouro Preto;Mariana
3140100;Marilac;Vale do Rio Doce;Governador Valadares;Governador Valadares
313350115;Marilândia;Oeste de Minas;Formiga;Itapecerica
3140209;Maripá de Minas;Zona da Mata;Juiz de Fora;Bicas
312087020;Maristela de Minas;Norte de Minas;Salinas;Taiobeiras
3140308;Marliéria;Vale do Rio Doce;Ipatinga;Timóteo
3140407;Marmelópolis;Sul/Sudoeste de Minas;Itajubá;Itajubá
3140506;Martinho Campos;Central Mineira;Bom Despacho;Martinho Campos
313720515;Martins Guimarães;Central Mineira;Bom Despacho;Lagoa da Prata
3140530;Martins Soares;Zona da Mata;Manhuaçu;Manhumirim
317020615;Martinésia;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Uberlândia
3140555;Mata Verde;Jequitinhonha;Almenara;Almenara
311930214;Mateiro;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Coromandel
3140605;Materlândia;Vale do Rio Doce;Guanhães;Sabinópolis
3140704;Mateus Leme;Metropolitana de Belo Horizonte;Belo Horizonte;Mateus Leme
3171501;Mathias Lobato;Vale do Rio Doce;Governador Valadares;Governador Valadares
3140803;Matias Barbosa;Zona da Mata;Juiz de Fora;Matias Barbosa
3140852;Matias Cardoso;Norte de Minas;Januária;Manga
3140902;Matipó;Zona da Mata;Manhuaçu;Abre Campo
3141009;Mato Verde;Norte de Minas;Janaúba;Monte Azul
3141108;Matozinhos;Metropolitana de Belo Horizonte;Sete Lagoas;Matozinhos
3141207;Matutina;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;São Gotardo
3141306;Medeiros;Oeste de Minas;Piuí;Bambuí
3141405;Medina;Jequitinhonha;Pedra Azul;Medina
312410415;Melo Viana;Metropolitana de Belo Horizonte;Belo Horizonte;Esmeraldas
312160535;Mendanha;Jequitinhonha;Diamantina;Diamantina
3141504;Mendes Pimentel;Vale do Rio Doce;Mantena;Mantena
317107115;Mendonça;Jequitinhonha;Capelinha;Turmalina
3141603;Mercês;Zona da Mata;Ubá;Mercês
316500810;Mercês de Água Limpa;Campo das Vertentes;São João Del Rei;São João del Rei
3141702;Mesquita;Vale do Rio Doce;Ipatinga;Mesquita
315670015;Mestre Caetano;Metropolitana de Belo Horizonte;Belo Horizonte;Sabará
314610735;Miguel Burnier;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
314320310;Milagre;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Monte Santo de Minas
316710315;Milho Verde;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Serro
3141801;Minas Novas;Jequitinhonha;Capelinha;Minas Novas
3141900;Minduri;Sul/Sudoeste de Minas;Andrelândia;Cruzília
3142007;Mirabela;Norte de Minas;Montes Claros;Montes Claros
3142106;Miradouro;Zona da Mata;Muriaé;Miradouro
316990112;Miragaia;Zona da Mata;Ubá;Ubá
314330215;Miralta;Norte de Minas;Montes Claros;Montes Claros
310720810;Mirantão;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
317020620;Miraporanga;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Uberlândia
3142254;Miravânia;Norte de Minas;Januária;Manga
3142205;Miraí;Zona da Mata;Muriaé;Miraí
310210015;Missionário;Zona da Mata;Viçosa;Alto Rio Doce
314110810;Mocambeiro;Metropolitana de Belo Horizonte;Sete Lagoas;Matozinhos
315220412;Mocambinho;Norte de Minas;Janaúba;Porteirinha
3142304;Moeda;Metropolitana de Belo Horizonte;Itaguara;Belo Vale
3142403;Moema;Central Mineira;Bom Despacho;Bom Despacho
313750210;Monjolinho de Minas;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
